id;macrorregiao;grupo;mantenedor;cultivar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;GRUPO I;AVANTI SEEDS;AV AGILY RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1;GRUPO I;AVANTI SEEDS;AV GURIA RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1;GRUPO II;AVANTI SEEDS;SW BRIZA RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1;GRUPO I;BAYER S/A;AMS TIBAGI RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1;GRUPO I;BAYER S/A;BS 1511 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1;GRUPO I;BAYER S/A;BS 1519 LL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1;GRUPO I;BAYER S/A;BS 1543 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1;GRUPO I;BAYER S/A;BS 1580 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1;GRUPO II;BAYER S/A;BS 1691 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1;GRUPO I;BAYER S/A;BS 2590 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1;GRUPO II;BAYER S/A;BS 2640 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;2;GRUPO I;BAYER S/A;BS IRGA1642 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1;GRUPO I;BAYER S/A;CZ 15B64 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1;GRUPO I;BAYER S/A;CZ 15B92 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1;GRUPO I;BAYER S/A;CZ 16B39 LL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;2;GRUPO I;BAYER S/A;CZ 26B05 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;GRUPO II;BAYER S/A;CZ 26B42 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1;GRUPO I;BAYER S/A;FPS IGUAÇU RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1;GRUPO I;BAYER S/A;FPS PARANAPANEMA RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1;GRUPO I;BAYER S/A;FPS SOLIMÕES RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;1;GRUPO I;BAYER S/A;FUNDACEP 66 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;1;GRUPO II;BAYER S/A;RA626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;1;GRUPO I;BAYER S/A;TEC 5936 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;1;GRUPO I;BAYER S/A;TEC 6029 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;1;GRUPO II;BAYER S/A;TEC 6702 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;1;GRUPO II;BAYER S/A;TEC 7022 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;1;GRUPO III;BAYER S/A;TEC 7849 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;1;GRUPO I;BAYER S/A;TECIRGA 6070 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;1;GRUPO I;CEI - CENTRO EDUCACIONAL INTEGRADO;INT 3459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;1;GRUPO I;CEI - CENTRO EDUCACIONAL INTEGRADO;INT 5801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;1;GRUPO I;CEI - CENTRO EDUCACIONAL INTEGRADO;INT 5900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;1;GRUPO I;CEI - CENTRO EDUCACIONAL INTEGRADO;INT 6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;1;GRUPO I;CEI - CENTRO EDUCACIONAL INTEGRADO;INT 6100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;1;GRUPO I;CEI - CENTRO EDUCACIONAL INTEGRADO;INT 6201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;1;GRUPO I;CEI - CENTRO EDUCACIONAL INTEGRADO;INT 6300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;1;GRUPO II;CEI - CENTRO EDUCACIONAL INTEGRADO;INT 6603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;1;GRUPO II;CEI - CENTRO EDUCACIONAL INTEGRADO;INT 7100 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
